"deal_id","target_name","target_cik","cik_match_method"
"3475394020","Carbonite Inc","0001340127","cleaned"
"3108658020","CardConnect Corp","0001614818","cleaned"
"2231010020","Cardiac Science Corp","0001323115","cleaned"
"2996263020","Cardinal Financial Corp","0001060523","cleaned"
"2080797020","CardioDynamics International Corp","0000719722","cleaned"
"3684533020","Cardtronics plc","0001671013","cleaned"
"3100226020","Care Capital Properties Inc","0001639947","cleaned"
"2164920020","Care Investment Trust Inc","0001393726","cleaned"
"3492916020","Care.Com Inc","0001412270","cleaned"
"2682158020","CareFusion Corp","0001457543","cleaned"
"1807541020","Caremark Rx Inc","0001000736","cleaned"
"2337036020","Caribou Coffee Co Inc","0000894512","cleaned"
"2733163020","Carmike Cinemas Inc","0000799088","cleaned"
"3478126020","Carolina Financial Corp","0000870385","cleaned"
"1900462020","Carolina National Corp","0001157648","cleaned"
"3429894020","Carolina Trust BancShares Inc","0001676667","cleaned"
"1740290020","CarrAmerica Realty Corp","0000893577","cleaned"
"1935512020","Carrier Access Corp","0001018074","cleaned"
"3429231020","Carrizo Oil & Gas Inc","0001040593","cleaned"
"3523475020","Carroll Bancorp Inc","0001515069","cleaned"
"3384620020","Cas Medical Systems Inc","0000764579","cleaned"
"2461418020","Cascade Corp","0000018061","cleaned"
"2917886020","Cascade Microtech Inc","0000864559","cleaned"
"1775218020","Cascade Natural Gas Corp","0000018072","cleaned"
"3208273020","Cascadian Therapeutics Inc","0001412067","cleaned"
"2952431020","Cash America International Inc","0000807884","cleaned"
"1987242020","Cash Systems Inc","0000861050","cleaned"
"3831126020","Casper Sleep Inc","0001598674","cleaned"
"3446797020","Castle Brands Inc","0001311538","cleaned"
"3857908020","Castlight Health Inc","0001433714","cleaned"
"2406806020","Catalyst Health Solutions Inc","0001090403","cleaned"
"1996671020","Catalyst Semiconductor Inc","0000899636","cleaned"
"2738592020","Catamaran Corp","0001363851","cleaned"
"2072411020","Catapult Communications Corp","0001063085","cleaned"
"2082231020","Cavalier Homes Inc","0000789863","cleaned"
"3172242020","Cavium Inc","0001175609","cleaned"
"2964791020","Celator Pharmaceuticals Inc","0001327467","cleaned"
"2291302020","Celera Corp","0001428156","cleaned"
"2087068020","Cell Genesys Inc","0000865231","cleaned"
"2221049020","Cellu Tissue Holdings Inc","0001295976","cleaned"
"3479262020","Cellular Biomedicine Group Inc","0001378624","cleaned"
"2738540020","Cellular Dynamics International Inc","0001482080","cleaned"
"2025989020","Centennial Communications Corp","0001028468","cleaned"
"2522796020","Centerline Holding Co","0001043325","cleaned"
"2013490020","Centerplate Inc","0001086774","cleaned"
"2064347020","Centex Corp","0000018532","cleaned"
"1994742020","Centillium Communications Inc","0001107194","cleaned"
